map,cmd,stars,MWSC,Type,RAJ2000,DEJ2000,r0,r1,r2,pmRA,pmDE,RV,d,E(B-V),logt,rc,rt,k,SType,[Fe/H],Simbad
 , , , , ,deg,deg,deg,deg,deg,mas/yr,mas/yr,km/s,pc,mag,[yr],pc,pc,pc-2, ,[Sun],
---,---,-----,----,-,-------,-------,-------,-------,-------,-------,-------,-------,--------,-------,-------,--------,--------,--------,---,--------,------
map,cmd,stars,0001, ,000.067,+60.933,  0.025,  0.087,  0.155,   0.56,   1.56,       ,    2700,  0.720,  8.470,    1.12,   13.66,    5.19,   ,        ,Simbad
map,cmd,stars,0002, ,000.082,+50.727,  0.015,  0.070,  0.156,  -3.20,  -3.47,       ,    1953,  0.146,  9.255,    0.61,    9.93,    2.67,   ,        ,Simbad
map,cmd,stars,0003, ,000.127,+59.242,  0.018,  0.055,  0.090,  -1.66,  -0.01,       ,    2926,  1.145,  7.800,    0.39,    7.65,    5.62,irc,        ,Simbad
map,cmd,stars,0004, ,000.397,+64.625,  0.010,  0.050,  0.080,  -3.59,  -1.15,       ,     774,  0.177,  8.680,    0.16,    2.14,  355.57,   ,        ,Simbad
map,cmd,stars,0005, ,000.559,+67.425,  0.035,  0.115,  0.220,  -3.20,  -1.11,  -12.5,    1000,  1.241,  6.100,    0.55,    6.51,  153.96,   ,        ,Simbad
map,cmd,stars,0006,a,000.735,+67.500,  0.120,  0.345,  0.760,  -0.93,  -2.58,    0.0,     850,  1.099,  6.100,    9.54,   13.56,   16.73,ass,        ,Simbad
map,cmd,stars,0007, ,000.885,-30.000,  0.500,  1.400,  2.350,  19.71,   2.28,    5.5,     250,  0.012,  7.750,    2.82,   10.93,   24.84,   ,  -0.188,Simbad
map,cmd,stars,0008, ,000.852,+63.580,  0.018,  0.055,  0.135,  -4.57,  -4.37,       ,    3599,  0.606,  8.805,    1.13,   14.92,    4.51,   ,   0.070,Simbad
map,cmd,stars,0009, ,000.996,+68.565,  0.010,  0.055,  0.090,  -3.52,  -1.55,       ,    1338,  0.833,  7.150,    0.73,    5.69,    1.69,irc,        ,Simbad
