Name,RAB1950,DEB1950,pm,pmPA,RV,Sp,Vmag,B-V,plx,_RA,_DE
Sun     ,        ,        ,      ,     ,      ,G2 V        ,-26.72, 0.65,      ,00 02 34,+00 16.7
NN 3001 ,00 00 06,-34 29.7, 0.758,168.6,      ,DC9         , 14.90, 0.46,  75.2,00 02 40,-34 13.6
GJ 1001 ,00 02 05,-40 57.8, 1.618,154.5,  -3.0,M3.5        , 12.84, 1.63, 104.2,00 04 41,-40 42.3
NN 3002 ,00 02 16,+34 22.8, 0.776, 83.0,   6.4,G2 V        ,  6.11, 0.62,  49.0,00 04 54,+34 39.6
NN 3003 ,00 02 21,+22 59.5, 0.380, 91.5,      ,G9 V        ,  7.82, 0.74,  39.0,00 04 57,+23 16.2
Gl 1    ,00 02 28,-37 36.2, 6.097,112.5,  22.9,M4 V        ,  8.54, 1.46, 221.8,00 05 25,-37 21.4
Gl 2    ,00 02 32,+45 30.6, 0.894,100.5,   0.1,dM2  e      ,  9.93, 1.49,  87.0,00 05 11,+45 47.2
NN 3004 ,00 02 43,+48 12.0, 0.009,305.5,      ,G5          ,  8.30,     ,  51.0,00 05 18,+48 28.7
Gl 3    ,00 02 48,-68 06.2, 0.582,190.7,  41.0,K5 V        ,  8.48, 1.06,  53.0,00 05 18,-67 50.0
NN 3005 ,00 02 54,-50 20.0, 0.167,276.0,      ,M5          , 11.95, 1.50,  47.0,00 05 25,-50 03.3
Gl 4    ,00 03 02,+45 32.2, 0.839,101.8,   0.0,dK6  e      ,  8.97, 1.44,  87.0,00 05 41,+45 48.8
Gl 4    ,00 03 02,+45 32.1, 0.885, 98.3,   0.1,M0.5 V      ,  9.02, 1.45,  87.0,00 05 41,+45 48.7
Gl 4.1  ,00 03 38,+58 09.5, 0.260, 76.7, -11.6,G5 V        ,  6.43, 0.64,  46.5,00 06 16,+58 26.2
Gl 4.1  ,00 03 38,+58 09.5, 0.260, 76.7, -16.0,dG8         ,  7.20, 0.78,  46.5,00 06 16,+58 26.2
NN 3006 ,00 03 40,-66 07.5, 0.593,160.6,      ,M4          , 12.16, 1.55,  55.0,00 06 12,-65 51.3
Gl 4.2  ,00 03 44,-49 21.2, 0.592, 93.9,   2.6,G1 IV       ,  5.71, 0.52,  48.3,00 06 19,-49 04.5
Gl 4.2  ,00 03 44,-49 21.2, 0.592, 93.9,      ,            , 11.50,     ,  48.3,00 06 19,-49 04.5
Gl 5    ,00 04 01,+28 44.7, 0.422,114.1,  -5.5,K0 Ve       ,  6.14, 0.75,  70.2,00 06 37,+29 01.3
GJ 1002 ,00 04 13,-07 47.5, 2.041,203.6, -42.0,M5-5.5      , 13.75, 1.98, 212.8,00 06 44,-07 32.4
GJ 1003 ,00 04 46,+28 58.8, 1.890,127.2,      ,m           , 14.18, 1.49,  53.5,00 07 27,+29 14.5
Wo 9003 ,00 04 58,-24 05.9, 0.348, 77.5, -46.0,K0 V        ,  8.70, 0.80,  26.0,00 07 32,-23 49.1
NN 3007 ,00 05 26,+07 44.0, 0.546,222.4,      ,M3.5        , 13.07, 1.52,  44.0,00 07 59,+08 00.4
NN 3008 ,00 05 53,+17 08.8, 0.105,238.3,      ,dM0         , 10.79, 1.47,  47.0,00 08 27,+17 25.4
NN 3009 ,00 05 54,-57 22.0, 0.368,264.0,      ,M4          , 12.07, 1.54,  74.0,00 08 22,-57 05.3
Gl 6    ,00 06 06,+36 21.0, 0.167,222.2, -15.2,F8 IV       ,  6.21, 0.49,  46.2,00 08 41,+36 37.6
NN 3010 ,00 06 20,+20 33.9, 0.244,194.0,      ,m           , 13.54,     ,  94.0,00 08 54,+20 50.4
Gl 7    ,00 06 29,-27 24.1, 0.683, 83.7,      ,m           , 11.72, 1.50,  29.0,00 09 04,-27 07.3
Gl 8    ,00 06 30,+58 52.4, 0.553,108.4,  11.3,F2 III-IV   ,  2.27, 0.34,  69.2,00 09 11,+59 08.9
Gl 9.1  ,00 06 53,-46 01.4, 0.214,145.0,  -9.2,K0 III      ,  3.88, 1.03,  64.5,00 09 25,-45 44.9
NN 3011 ,00 08 31,-06 03.7, 0.252, 88.0,  -5.2,dM2         , 10.86, 1.47,  43.0,00 11 05,-05 47.0
NN 3012 ,00 08 42,+58 04.5, 0.235, 92.0,      ,K7          ,  9.48, 1.22,  46.0,00 11 22,+58 21.2
Gl 10   ,00 08 43,-15 44.5, 0.279,197.5,  14.6,F7 V        ,  4.89, 0.49,  62.0,00 11 16,-15 28.0
Gl 10.1 ,00 09 03,-59 11.3, 0.290, 90.2,  -4.6,G4 V        ,  8.35, 0.62,  20.0,00 11 34,-58 54.6
NN 3013 ,00 09 12,-35 24.8, 0.211, 54.2, -13.5,F4 V        ,  5.25, 0.44,  44.0,00 11 44,-35 08.0
